Name,ISO_3,Continent,PA_Land_Area,PA_Marine_Area,Land_Area,Percentage_PA_Land_Cover,Percentage_PA_Marine_Cover,Marine_Area
Afghanistan,AFG,Asia & Pacific,23383.89116,0.0,642899.1342,3.6372566,0.0,0.0
Albania,ALB,Europe,5344.435776,317.9822161,28746.5563,18.591568,2.8392792,11199.39919
Algeria,DZA,Africa,107865.0166,87.74437742,2324458.588,4.6404362,0.0680226,128992.9935
Andorra,AND,Europe,126.731575,0.0,471.870724,26.8572655,0.0,0.0
Argentina,ARG,Latin America & Caribbean,242086.7595,127455.2686,2785327.721,8.6914997,11.767086,1083150.624
Armenia,ARM,Europe,7326.659775,0.0,29685.40559,24.6810169,0.0,0.0
Australia,AUS,Asia & Pacific,1572445.525,3295157.783,7722102.022,20.3629208,44.3366356,7432133.367
Austria,AUT,Europe,24754.50808,0.0,83912.25912,29.5004673,0.0,0.0
Azerbaijan,AZE,Europe,8798.362587,345.3141374,86639.62334,10.1551256,0.4369289,79032.11877
Bahrain,BHR,West Asia,88.99236591,1612.477371,686.857403,12.9564543,21.1257343,7632.763476
Bangladesh,BGD,Asia & Pacific,6468.243508,6725.559958,140160.1678,4.6148944,7.9532928,84563.21214
Belarus,BLR,Europe,28686.55343,0.0,207228.0654,13.8429871,0.0,0.0
Belgium,BEL,Europe,4772.624582,1318.798331,30683.07213,15.5545855,38.0590172,3465.140147
Bhutan,BTN,Asia & Pacific,19834.69833,0.0,39933.48814,49.6693344,0.0,0.0
Bolivia (Plurinational State of),BOL,Latin America & Caribbean,336406.5863,0.0,1089908.94,30.8655682,0.0,0.0
Bosnia and Herzegovina,BIH,Europe,2081.617739,0.0,51225.15128,4.0636635,0.0,12.763205
Brazil,BRA,Latin America & Caribbean,2611318.188,985719.4918,8529399.243,30.6154995,26.839941,3672584.326
British Indian Ocean Territory,IOT,Asia & Pacific,68.95284624,642270.8732,68.952846,100.0,99.9262848,642744.6863
Brunei Darussalam,BRN,Asia & Pacific,2794.368892,51.67920945,5961.686662,46.8721199,0.2010988,25698.41824
Bulgaria,BGR,Europe,45503.458,2851.852747,110862.7479,41.044857,8.1083384,35171.8505
Cambodia,KHM,Asia & Pacific,72527.31997,691.4698477,182510.8526,39.738636,1.4415576,47966.8519
Antigua and Barbuda,ATG,Latin America & Caribbean,90.76280668,325.4143096,455.237976,19.9374428,0.2999421,108492.3833
Bahamas,BHS,Latin America & Caribbean,4930.158571,47355.48699,13458.00624,36.6336479,7.9228845,597705.1345
Belize,BLZ,Latin America & Caribbean,8372.049228,3994.435996,22297.76618,37.5465813,11.0191832,36249.83866
Barbados,BRB,Latin America & Caribbean,5.640150606,10.32124892,444.068519,1.2701082,0.0055785,185019.8485
Burundi,BDI,Africa,2065.705683,0.0,27210.87243,7.5914717,0.0,0.0
Angola,AGO,Africa,134909.4326,66.62310704,1255217.852,10.7478895,0.0134932,493753.373
Botswana,BWA,Africa,169369.804,0.0,581162.9215,29.1432571,0.0,0.0
Benin,BEN,Africa,34414.52568,0.0,116095.3632,29.6433258,0.0,30425.6792
Canada,CAN,North America,1275767.243,517851.6411,9955032.941,12.815299,9.0881739,5698082.708
Chile,CHL,Latin America & Caribbean,159942.1329,1512449.203,759820.962,21.0499763,41.3541069,3657313.03
China,CHN,Asia & Pacific,1461913.138,48125.64643,9361608.881,15.616046,5.4790087,878364.0892
Colombia,COL,Latin America & Caribbean,187816.9179,124883.7982,1145032.899,16.4027538,17.0900021,730741.8263
Costa Rica,CRI,Latin America & Caribbean,13730.23463,166793.1993,51636.14199,26.5903568,28.9516144,576110.183
Croatia,HRV,Europe,21894.93057,4984.81069,56855.88522,38.5095253,8.9877367,55462.35822
Cyprus,CYP,Europe,3509.437909,8472.2211,9063.433945,38.7208405,8.6205378,98279.50173
