Name;ISO_3;Continent;PA_Land_Area;PA_Marine_Area;Land_Area;%_pa_land;%_pa_mar;Marine_Area
Afghanistan;AFG;Asia & Pacific;23383,89;0,00;642899,13;3,64;0,00;0,00
Albania;ALB;Europe;5344,44;317,98;28746,56;18,59;2,84;11199,40
Algeria;DZA;Africa;107865,02;87,74;2324458,59;4,64;0,07;128992,99
Andorra;AND;Europe;126,73;0,00;471,87;26,86;0,00;0,00
Argentina;ARG;Latin America & Caribbean;242086,76;127455,27;2785327,72;8,69;11,77;1083150,62
Armenia;ARM;Europe;7326,66;0,00;29685,41;24,68;0,00;0,00
Australia;AUS;Asia & Pacific;1572445,53;3295157,78;7722102,02;20,36;44,34;7432133,37
Austria;AUT;Europe;24754,51;0,00;83912,26;29,50;0,00;0,00
Azerbaijan;AZE;Europe;8798,36;345,31;86639,62;10,16;0,44;79032,12
Bahrain;BHR;West Asia;88,99;1612,48;686,86;12,96;21,13;7632,76
Bangladesh;BGD;Asia & Pacific;6468,24;6725,56;140160,17;4,61;7,95;84563,21
Belarus;BLR;Europe;28686,55;0,00;207228,07;13,84;0,00;0,00
Belgium;BEL;Europe;4772,62;1318,80;30683,07;15,55;38,06;3465,14
Bhutan;BTN;Asia & Pacific;19834,70;0,00;39933,49;49,67;0,00;0,00
Bolivia (Plurinational State of);BOL;Latin America & Caribbean;336406,59;0,00;1089908,94;30,87;0,00;0,00
Bosnia and Herzegovina;BIH;Europe;2081,62;0,00;51225,15;4,06;0,00;12,76
Brazil;BRA;Latin America & Caribbean;2611318,19;985719,49;8529399,24;30,62;26,84;3672584,33
British Indian Ocean Territory;IOT;Asia & Pacific;68,95;642270,87;68,95;100,00;99,93;642744,69
Brunei Darussalam;BRN;Asia & Pacific;2794,37;51,68;5961,69;46,87;0,20;25698,42
Bulgaria;BGR;Europe;45503,46;2851,85;110862,75;41,04;8,11;35171,85
Cambodia;KHM;Asia & Pacific;72527,32;691,47;182510,85;39,74;1,44;47966,85
Antigua and Barbuda;ATG;Latin America & Caribbean;90,76;325,41;455,24;19,94;0,30;108492,38
Bahamas;BHS;Latin America & Caribbean;4930,16;47355,49;13458,01;36,63;7,92;597705,13
Belize;BLZ;Latin America & Caribbean;8372,05;3994,44;22297,77;37,55;11,02;36249,84
Barbados;BRB;Latin America & Caribbean;5,64;10,32;444,07;1,27;0,01;185019,85
Burundi;BDI;Africa;2065,71;0,00;27210,87;7,59;0,00;0,00
Angola;AGO;Africa;134909,43;66,62;1255217,85;10,75;0,01;493753,37
Botswana;BWA;Africa;169369,80;0,00;581162,92;29,14;0,00;0,00
Benin;BEN;Africa;34414,53;0,00;116095,36;29,64;0,00;30425,68
Canada;CAN;North America;1275767,24;517851,64;9955032,94;12,82;9,09;5698082,71
Chile;CHL;Latin America & Caribbean;159942,13;1512449,20;759820,96;21,05;41,35;3657313,03
China;CHN;Asia & Pacific;1461913,14;48125,65;9361608,88;15,62;5,48;878364,09
Colombia;COL;Latin America & Caribbean;187816,92;124883,80;1145032,90;16,40;17,09;730741,83
Costa Rica;CRI;Latin America & Caribbean;13730,23;166793,20;51636,14;26,59;28,95;576110,18
Croatia;HRV;Europe;21894,93;4984,81;56855,89;38,51;8,99;55462,36
Cyprus;CYP;Europe;3509,44;8472,22;9063,43;38,72;8,62;98279,50
Czechia;CZE;Europe;17272,63;0,00;77916,90;22,17;0,00;0,00
Denmark;DNK;Europe;7689,98;18408,28;45314,40;16,97;18,32;100469,75
Ecuador;ECU;Latin America & Caribbean;60703,54;206784,25;258138,67;23,52;19,15;1079901,07
